Title,Authors,Published Year,Number of Pages,Cover Image,Subjects
Data Science for Beginners,Alex Campbell,2021,N/A,N/A,
Statistical Data Science,"Niall M. Adams, Ed Cohen",2018,N/A,N/A,"Mathematical statistics, Data mining"
Game Data Science,"Magy Seif El-Nasr, Alessandro Canossa, Truong-Huy D. Nguyen, Anders Drachen",2021,N/A,N/A,Recreation
Analytics,Daniel Covington,2016,N/A,https://covers.openlibrary.org/b/id/12515687-M.jpg,"Business intelligence, Information technology, Data mining, Strategic planning"
Human-Centered Data Science,"Cecilia Aragon, Shion Guha, Marina Kogan, Michael Muller, Gina Neff",2022,N/A,N/A,"Mathematics, Big data, Moral and ethical aspects, Social indicators, Data processing, Quantitative research, Information science, Données volumineuses, Aspect moral, Indicateurs sociaux, Informatique, Recherche quantitative, Sciences de l'information"
Citizen Data Science,Gerardus Blokdyk,2018,N/A,https://covers.openlibrary.org/b/id/9179107-M.jpg,
Data Science Bookcamp,Leonard Apeltsin,2021,N/A,N/A,
Data Science From Scratch,Henry George,2020,N/A,N/A,
Foundations of Data Science,"Avrim Blum, John Hopcroft, Ravindran Kannan",2020,N/A,https://covers.openlibrary.org/b/id/13245000-M.jpg,"Computer science, Statistics, Mathematics"
Data Science for Undergraduates,"National Academies of Sciences, Engineering, and Medicine, Division of Behavioral and Social Sciences and Education, Board on Science Education, Division on Engineering and Physical Sciences, Committee on Applied and Theoretical Statistics",2018,N/A,N/A,"Data mining, Science, study and teaching, Science, Study and teaching"
Data Science Gym,Syed Hassan Amin,2021,N/A,N/A,
Executive Data Science,Roger Peng,2016,N/A,https://covers.openlibrary.org/b/id/11804232-M.jpg,
